Course Number,Course Name,Credit Count,Prerequisites
ENG 272W,"(4) Business Communication 2, 13",2,N/A
SOC 420,SPAN 396 SPED 409,3,N/A
PHYS 221,General Physics I (4),3,N/A
ART 485,Advanced Installation 3-6,6,N/A
ART 466,Realism to Postmodernism 3,4,N/A
PHYS 223,General Physics III 3,4,N/A
ME 213,Statics and Dynamics for Electrical Engineers 3,3,N/A
PHYS 212,Principles of Physics II 4,3,N/A
MET 427,Quality Management Systems 3,4,N/A
CW 494,Special Topics Workshop 2-4,9,N/A
CJ 231,Criminal Law & Procedures 4,6,N/A
PHYS 233,General Physics III Laboratory 1,9,N/A
EE 489,Real-time Embedded Systems 4,3,N/A
EET 441,Embedded Systems 4,1,N/A
KSP 440,"Creating Learning Environments to Engage Children, Families",3,N/A
KSP 442,"Reading, Literacy, and Differentiated Instruction in the",3,N/A
KSP 464,Professional Seminar (1),6,N/A
WLC 310,Portuguese for Spanish Speakers 4,507,N/A
MATH 492W,Mathematics Capstone Experience 3,7,N/A
MATH 492,W,11,N/A
CHEM 111,Chemistry of Life Process Part II (Organic & Biochemistry),5,N/A
URBS 230W,Community Leadership 3,3,N/A
URBS 497,Internship 1-12,2,N/A
LAWE 100,- 499,8,N/A
POL 241,Introduction to Comparative Politics 4,24,N/A
POL 300,- 499 Choose 8 credits from Area 2 or Area 3.,8,N/A
POL 455,American Legal Philosophy 4,8,N/A
NURS 320W,) and a total of 3 course withdraws throughout the program.,3,N/A
